channel_id,channel,classification
UC7VnK3vVf65VZGtfxxmTEyA,Love2Wander,3.0
UC7_c_YYeg4WuP2kmAuAyE-w,Stranger Crack,3.0
UC8JAMmKAkp_qcsykOw9MbmA,MasFace,3.0
UC8JdGT6LPDBg4K6Ye2cFSLQ,PlaneSpottingBerlin ✈ Aviation Videos,3.0
UC8QZ-OIqfWKek1CpMvs2O3g,Aaron Jayjack,3.0
UC8hIFpcigWWC2203ptnn5HQ,Jolene Esposito-Craft,3.0
UC9s8w4dP1Uo8rlaV-UOvcGg,viral compilation,3.0
UC9xkc8dWgBsFfC7DOJfJLFg,92nd Street Y,3.0
UCAA-C5iJziJY0JfreHVz0Ww,Vine Lord,3.0
UCAP-qKVm7UlyX2UndCX-NVg,Caleb Burton,3.0
UCBGU418kbbi5ESA5KoDvl6g,danaus,3.0
UCBMgA37Ii88GcHg_4h56TMQ,INolts,3.0
UCBZWabGWByTp5EJNIHP7vew,NH Airtime,3.0
UCC0pWwc2tGuXObExT5tmO0g,Anselmo Morales,3.0
UCCRvgJtSdXyWTjaaVS4YG-g,Josh MacDonald,3.0
UCCwZ-DtnI6mZbQhrUw4677g,j0ibis,3.0
UCDF2zg7vY6nu_DAHB73MDaw,Mario Saenz Landscaping Services,3.0
UCDOK9vaq3FN2rOhfUiZvNuw,JKrew,3.0
UCDoRuWwhUztZfUOZxzlpRPQ,Hectic Express,3.0
UCERDzPEH0gBCfI89wrcTYwA,Daniel Kalbach,3.0
UCEa6eQeb6QoDHCrHtZC82OA,Jeremy T,3.0
UCEkUdJEE39MBFwhxmD1Qllw,PipsUniversity,3.0
UCExx109KH5msQR0n52ZzyAw,Rock 'N Learn,3.0
UCG7gmvuO5rr-LIv-aXSh3qQ,The Chapman Way,3.0
UCG8knWYwMrJtE_keRb9vifw,JoplinGlobeVideo,3.0
UCGGZrZuTZTnMhMkgiRKJNyQ,Raveena of Punjab,3.0
UCGjpp-l0X1hbdGVM2juqsFg,RDC Tarantula,3.0
UCHcHAxe7u5w8x1bVGwAw7TQ,Richard Chlad,3.0
UCI1H2wxkvshpCcUNNOEc4Gw,IBTimes UK,3.0
UCIA8ZzsiY64Am9X-3aeVT3w,All About The TEA,3.0
UCILTnojId0YJl85C6Lndo2A,TK spotting,3.0
UCIXIaHJM62iC5LyfG7kz_Jg,Big Boy Toys,3.0
UCJ75p4PUoM-ZbQvO5B-iZ7w,Eric Willard,3.0
UCJFkRBB4RJ7c_5Brk_489ig,KWH369 Documentaries,3.0
UCJZeoCWtK_GjDu8H_ql2irA,Jer The Rook,3.0
UCJb8yyu5ZaGu7sCvjmFm1zA,Joanna Kujath,3.0
UCJoKkSwCDv-AXprkJFnEX-w,grandpaspecF6,3.0
UCJzYsXrglBxspBZg8nGvp-Q,Go Downsize,3.0
UCK4jb-NLH7n9WvoKfYyPYcQ,Quahog Land,3.0
UCK6sIU1Sb0jaIXzNWmcDmnQ,Syntagma,3.0
UCK9P-UQvT8lcsezaA-w3EzA,Earthly,3.0
UCKAWwQiEpCDTTxUaHkgY7YA,SnakeBabe,3.0
UCKvvFVT52PfF0vlJgp2xqPA,TheFutureIsRightHere,3.0
UCLD9gYMNtz055lyLa2T8egg,Ask Captain Chris,3.0
UCLL-Sq-rCtXaqAsLkqEf6ag,J.R. Gilkinson,3.0
UCLhvu_-py2eiC_yD17WLLNg,Learn and Play with Zack,3.0
UCLxi1KrCqwJS49d50vsw0_w,Judge Rinder,3.0
UCMo8k2T2cVGvFI-Mm0Z-UKw,Nikolay Shalygin,3.0
UCNY5qHgFmzqxFPB8XrOExgA,filiejr,3.0
UCNvDlQ7r3dG-wUiDIgiegKQ,juiceyt1,3.0
UCOLESdnG2yIF71N0b6-fojg,cloudwards,3.0
UCPBmdsgycGaamxTIdcAknJQ,Aydin RD,3.0
UCPMbsDdQ7TrJbGiBJZGxCug,Sarah Speaks,3.0
UCQ4IvkMOFaTtuaZk9poX32Q,Joseph Nemeth,3.0
UCQDLUquo9ZOJ2amYjtoWo9g,Escape From Crazytown,3.0
UCQZ1lsBP6eMCQXxk41XpMew,tmcleanful,3.0
